dataset_index,true_cipher_type,difficulty,true_plaintext,ciphertext_original,rq2_std_pred,rq2_std_correct,rq2_char_pred,rq2_char_correct,rq3_std_pred,rq3_std_correct,rq3_char_pred,rq3_char_correct
0,Caesar Cipher,1,The quick brown fox jumps over the lazy dog.,wkh txlfn eurzq ira mxpsv ryhu wkh odcb grj.,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Rail Fence Cipher,False
1,Atbash Cipher,1,The quick brown fox jumps over the lazy dog.,Gsv jfrxp yildm ulc qfnkh levi gsv ozab wlt.,Playfair Cipher,False,Playfair Cipher,False,Atbash Cipher,True,Rail Fence Cipher,False
2,Morse Code,1,The quick brown fox jumps over the lazy dog.,- .... .   --.- ..- .. -.-. -.-   -... .-. --- .-- -.   ..-. --- -..-   .--- ..- -- .--. ...   --- ...- . .-.   - .... .   .-.. .- --.. -.--   -.. --- --. .,Vigenère Cipher,False,Playfair Cipher,False,Morse Code,True,Rail Fence Cipher,False
3,Bacon Cipher,1,The quick brown fox jumps over the lazy dog.,BAABBAABBBAABAABAAAABABAAABAAAAAABAABABAAAAABBAAABABBBABABBAABBABAABABABBBABABBBABAABBABAAABBAAABBBBBAABAABBBABABABAABAABAAABBAABBAABBBAABAAABABBAAAAABBAABBBAAAAAABBABBBAAABBA,Vigenère Cipher,False,Atbash Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
4,Rail Fence Cipher,2,The quick brown fox jumps over the lazy dog.,Tqkofjsehadh uc rw o up vrtelz o.eibnxmo  yg,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Atbash Cipher,False
5,Vigenère Cipher,2,The quick brown fox jumps over the lazy dog.,pin ttqif xsxiq nus fvvbv wbzk uqq kift zpp.,Playfair Cipher,False,Playfair Cipher,False,Atbash Cipher,False,Rail Fence Cipher,False
6,Playfair Cipher,2,The quick brown fox jumps over the lazy dog.,HEBHHQFYLZPVODVKQHNRVMTKNZEDGBSBFNFI,Playfair Cipher,True,Morse Code,False,Atbash Cipher,False,Rail Fence Cipher,False
7,RSA Cipher,3,The quick brown fox jumps over the lazy dog.,2159 2170 1313 1992 1627 2160 3179 281 690 1992 2570 2412 2185 1107 2235 1992 1369 2185 1542 1992 1696 2160 2271 612 1230 1992 2185 2578 1313 2412 1992 884 2170 1313 1992 745 1632 1830 487 1992 1773 2185 2923 2825,Atbash Cipher,False,Morse Code,False,"RSA Cipher (due to the presence of large prime numbers and the format of the ciphertext, which is typical for RSA encryption)",True,Vigenère Cipher,False
8,AES Cipher,3,The quick brown fox jumps over the lazy dog.,h5X41JoYzi0u42Lm6ayIyk0J2gPNMq84frOYQOS5J/dlbW5IR+yfVrjsbteme5FV,Atbash Cipher,False,Vigenère Cipher,False,RSA Cipher,False,Rail Fence Cipher,False
9,Caesar Cipher,1,"In a world of constant change, adaptability is key to success.","lq d zruog ri frqvwdqw fkdqjh, dgdswdelolwb lv nhb wr vxffhvv.",Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Rail Fence Cipher,False
10,Atbash Cipher,1,"In a world of constant change, adaptability is key to success.","Rm z dliow lu xlmhgzmg xszmtv, zwzkgzyrorgb rh pvb gl hfxxvhh.",Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,True,Rail Fence Cipher,False
11,Morse Code,1,"In a world of constant change, adaptability is key to success.",".. -.   .-   .-- --- .-. .-.. -..   --- ..-.   -.-. --- -. ... - .- -. -   -.-. .... .- -. --. . ,   .- -.. .- .--. - .- -... .. .-.. .. - -.--   .. ...   -.- . -.--   - ---   ... ..- -.-. -.-. . ... ... .",Playfair Cipher,False,Vigenère Cipher,False,Morse Code,True,Rail Fence Cipher,False
12,Bacon Cipher,1,"In a world of constant change, adaptability is key to success.",ABAAAABBABAAAAABABBAABBBABAAABABABBAAABBABBBAAABABAAABAABBBAABBABBAABABAABBAAAAAABBABBAABBAAABAAABBBAAAAAABBABAABBAAABAAAAAAAAAABBAAAAAABBBBBAABBAAAAAAAAABABAAAABABBABAAABAABBBBAAAABAAABAABAABABAAABAABBAAABAABBABBBABAABABABAAAAABAAAABAAABAABAABABAABA,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
13,Rail Fence Cipher,2,"In a world of constant change, adaptability is key to success.","I lfnnhedaiieocsnawrdo osatcag,aatblt skyt ucs. o ct n piy  se",Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Atbash Cipher,False
14,Vigenère Cipher,2,"In a world of constant change, adaptability is key to success.","ej e nrpmg kt rfqqudjp gwrqef, wreekdzjoepm xj ifb pc hlfafvo.",Vigenère Cipher,True,Vigenère Cipher,True,Atbash Cipher,False,Atbash Cipher,False
15,Playfair Cipher,2,"In a world of constant change, adaptability is key to success.",HPOAZEQEFLWZLUYZMUHNCQFRKAWQYZXHPFUSFVFDSUFEBHOBVEVE,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False,Vigenère Cipher,False
16,RSA Cipher,3,"In a world of constant change, adaptability is key to success.",1486 2235 1992 1632 1992 1107 2185 2412 745 1773 1992 2185 1369 1992 281 2185 2235 1230 884 1632 2235 884 1992 281 2170 1632 2235 2923 1313 678 1992 1632 1773 1632 612 884 1632 2570 3179 745 3179 884 487 1992 3179 1230 1992 690 1313 487 1992 884 2185 1992 1230 2160 281 281 1313 1230 1230 2825,Vigenère Cipher,False,Vigenère Cipher,False,"RSA Cipher (due to the large numbers used in the ciphertext, which is a characteristic of RSA encryption)",True,Vigenère Cipher,False
17,AES Cipher,3,"In a world of constant change, adaptability is key to success.",EXmDcYnG2NRL0iVWzcCgj/Fuch2P7O3fN+iok0apew7zV5pxpkvsl0bNSFiTSmkxnYVmk72ZDV0JEACUtqALCQ==,Vigenère Cipher,False,Vigenère Cipher,False,RSA Cipher,False,RSA Cipher,False
18,Caesar Cipher,1,"Mitochondria are the powerhouses of the cell, responsible for producing ATP through cellular respiration.","plwrfkrqguld duh wkh srzhukrxvhv ri wkh fhoo, uhvsrqvleoh iru surgxflqj dws wkurxjk fhooxodu uhvsludwlrq.",Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
19,Atbash Cipher,1,"Mitochondria are the powerhouses of the cell, responsible for producing ATP through cellular respiration.","Nrglxslmwirz ziv gsv kldvislfhvh lu gsv xvoo, ivhklmhryov uli kilwfxrmt ZGK gsilfts xvoofozi ivhkrizgrlm.",Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,True,Vigenère Cipher,False
20,Morse Code,1,"Mitochondria are the powerhouses of the cell, responsible for producing ATP through cellular respiration.","-- .. - --- -.-. .... --- -. -.. .-. .. .-   .- .-. .   - .... .   .--. --- .-- . .-. .... --- ..- ... . ...   --- ..-.   - .... .   -.-. . .-.. .-.. ,   .-. . ... .--. --- -. ... .. -... .-.. .   ..-. --- .-.   .--. .-. --- -.. ..- -.-. .. -. --.   .- - .--.   - .... .-. --- ..- --. ....   -.-. . .-.. .-.. ..- .-.. .- .-.   .-. . ... .--. .. .-. .- - .. --- -. .",Morse Code,True,Vigenère Cipher,False,Morse Code,True,Vigenère Cipher,False
21,Bacon Cipher,1,"Mitochondria are the powerhouses of the cell, responsible for producing ATP through cellular respiration.",ABBAAABAAABAABBABBBAAAABAAABBBABBBAABBABAAABBBAAABABAAAAAAAAAAAAABAAABAABAABAABBAABBBAABAAABBBBABBBABABBAAABAABAAABAABBBABBBABABAABAABAAABAABAABAABBBAAABABBAABBAABBBAABAAAAABAAABAAABABBABABBBAAABAABAABAABAABBBBABBBAABBABBAABAABAAAAAAABABABBAABAAAABABABBBABAAABABBBBBAAABABBBAAAABBBABAAAAABAABAAAABBABAABBAAAAAABAABBABBBBBAABBAABBBBAAABABBBABABAAAABBAAABBBAAABAAABAAABABBABABBBABAAABABBAAAAABAAABBAAABAABAABAABAABBBBABAAABAAABAAAAABAABBABAAAABBBAABBAB,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False,Rail Fence Cipher,False
22,Rail Fence Cipher,2,"Mitochondria are the powerhouses of the cell, responsible for producing ATP through cellular respiration.","Mcd   eu tc,sseroiAtucu pt.iohnraaetepwrosso h el epnil o rdcn T hog ellrrsiaintoirhohefelrobfpugPrhlaero",Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Atbash Cipher,False
23,Vigenère Cipher,2,"Mitochondria are the powerhouses of the cell, responsible for producing ATP through cellular respiration.","ddoeabjwfgzv qpy cjt kjmclcxwhvn ed oqg tzgb, mnuefinyzfz hdi khmxplkcx vjn oqtdlbc ayguwarm hcmkrtpkdjd.",Vigenère Cipher,True,Vigenère Cipher,True,Vigenère Cipher,True,Vigenère Cipher,True
24,Playfair Cipher,2,"Mitochondria are the powerhouses of the cell, responsible for producing ATP through cellular respiration.",LTEUHDQOAERBKARPDPENEDPAQNOIUQMPDPDTKYKIIOENOUBLGIGNIEEQCOBTOFCREPAPQNFDDTKYMSKBARIRNITICRESQV,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False,Rail Fence Cipher,False
25,RSA Cipher,3,"Mitochondria are the powerhouses of the cell, responsible for producing ATP through cellular respiration.",3123 3179 884 2185 281 2170 2185 2235 1773 2412 3179 1632 1992 1632 2412 1313 1992 884 2170 1313 1992 612 2185 1107 1313 2412 2170 2185 2160 1230 1313 1230 1992 2185 1369 1992 884 2170 1313 1992 281 1313 745 745 678 1992 2412 1313 1230 612 2185 2235 1230 3179 2570 745 1313 1992 1369 2185 2412 1992 612 2412 2185 1773 2160 281 3179 2235 2923 1992 2790 2159 2933 1992 884 2170 2412 2185 2160 2923 2170 1992 281 1313 745 745 2160 745 1632 2412 1992 2412 1313 1230 612 3179 2412 1632 884 3179 2185 2235 2825,Vigenère Cipher,False,Morse Code,False,Vigenère Cipher,False,Rail Fence Cipher,False
26,AES Cipher,3,"Mitochondria are the powerhouses of the cell, responsible for producing ATP through cellular respiration.",eNMZ7hVQm2sjDdsE/OnMyEXx11t0mMSXB0ddhI8G3RtIKjJRhyE8ApLlThpomZQm/Ww6lZiXPVCVycHEmNfIKoPFAPb8JOYFw1eS0cbEAlN9jQ7RAs8VGpDjAzQP/E58SoGrUmuOQ6RWBDmqn16Zog==,Vigenère Cipher,False,Vigenère Cipher,False,RSA Cipher,False,RSA Cipher,False
27,Caesar Cipher,1,Patients with hypertension should monitor their blood pressure regularly and maintain a healthy lifestyle.,sdwlhqwv zlwk kbshuwhqvlrq vkrxog prqlwru wkhlu eorrg suhvvxuh uhjxoduob dqg pdlqwdlq d khdowkb olihvwboh.,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False,Vigenère Cipher,False
28,Atbash Cipher,1,Patients with hypertension should monitor their blood pressure regularly and maintain a healthy lifestyle.,Kzgrvmgh drgs sbkvigvmhrlm hslfow nlmrgli gsvri yollw kivhhfiv ivtfoziob zmw nzrmgzrm z svzogsb oruvhgbov.,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,True,Rail Fence Cipher,False
